    SN,Loan_ID,Name,Trans_score,Urban,Gender,Age,CoapplicantIncome,Dependents,Self_Employed,Credit_History,ApplicantIncome,Loan_Status
127,LP001448,ALGERON,549,Urban,Female,52,0,1,0,1,23803,1
128,LP001449,ALI,625,Urban,Male,56,1640,1,1,0,3865,1
129,LP001451,ALIA,828,Semiurban,Female,41,3850,2,1,0,10513,0
130,LP001465,ALICE,770,Urban,Male,24,2569,1,1,0,6080,0
131,LP001469,ALICIA,758,Rural,Female,34,0,2,1,1,20166,0
132,LP001473,ALIJAH,795,Rural,Female,33,1929,1,1,1,2014,0
133,LP001478,ALIKA,687,Urban,Male,38,0,1,1,1,2718,0
134,LP001482,ALIMA,686,Urban,Male,25,0,2,0,1,3459,0
135,LP001487,ALINA,789,Urban,Male,39,0,2,1,1,4895,0
136,LP001488,ALISHA,589,Rural,Female,50,7750,2,1,1,4000,0
137,LP001489,ALISON,461,Rural,Female,34,0,1,0,1,4583,0
138,LP001491,ALISSA,637,Semiurban,Male,40,3500,1,0,1,3316,0
139,LP001492,ALIZE,584,Semiurban,Female,48,0,1,1,0,14999,1
140,LP001493,ALKA,579,Rural,Female,35,1430,2,0,1,4200,1
141,LP001497,ALLEGRA,756,Rural,Male,44,2083,1,1,0,5042,0
142,LP001498,ALLEN,663,Urban,Male,34,0,2,1,1,5417,0
143,LP001504,ALLENE,682,Semiurban,Female,43,0,1,1,1,6950,0
144,LP001507,ALLIE,793,Rural,Male,52,2034,1,1,0,2698,1
145,LP001508,ALLISON,691,Urban,Female,31,0,1,1,0,11757,1
146,LP001514,ALLYSON,485,Semiurban,Female,21,4486,1,1,1,2330,0
147,LP001516,ALMA,635,Rural,Female,29,0,2,1,0,14866,0
148,LP001518,ALMEDA,650,Semiurban,Male,37,1425,1,0,0,1538,0
149,LP001519,ALOHILANI,735,Urban,Male,44,1666,1,1,0,10000,0
150,LP001520,ALPHONSE,416,Urban,Male,32,830,2,0,1,4860,0
151,LP001528,ALSATIA,754,Urban,Female,32,0,2,1,0,6277,0
152,LP001529,ALTHEA,535,Rural,Female,48,3750,1,1,0,2577,1
153,LP001531,ALVA,716,Urban,Male,42,0,2,1,0,9166,0
154,LP001532,ALVIN,539,Rural,Male,37,0,1,1,0,2281,0
155,LP001535,ALYN,614,Semiurban,Female,43,0,2,1,1,3254,0
156,LP001536,ALYSON,706,Urban,Male,57,0,1,1,0,39999,1
157,LP001541,ALYSSA,758,Rural,Female,33,0,2,0,0,6000,0
158,LP001543,AMADEUS,586,Semiurban,Female,28,0,2,1,1,9538,0
159,LP001546,AMADOR,646,Rural,Female,73,2083,1,0,1,2980,0
160,LP001552,AMALIA,631,Rural,Female,33,5625,1,0,0,4583,0
161,LP001560,AMALIE,717,Semiurban,Female,22,1041,1,0,1,1863,0
162,LP001562,AMAN,684,Urban,Male,30,0,2,1,0,7933,0
163,LP001565,AMANA,800,Rural,Female,49,1280,1,0,0,3089,0
164,LP001570,AMANDA,721,Rural,Female,36,1447,2,1,1,4167,0
165,LP001572,AMANDLA,683,Semiurban,Male,29,0,1,1,0,9323,1
166,LP001574,AMARA,660,Urban,Male,31,3166,2,1,1,3707,0
167,LP001577,AMARANTA,704,Urban,Female,24,0,1,1,0,4583,1
168,LP001578,AMARANTE,615,Semiurban,Female,41,3333,1,1,0,2439,0
169,LP001579,AMARANTH,667,Rural,Female,39,0,2,1,0,2237,1
170,LP001580,AMARIS,682,Rural,Male,24,0,2,0,0,8000,0
171,LP001581,AMARYLLIS,484,Rural,Female,29,1769,1,1,0,1820,0
172,LP001585,AMAYA,628,Rural,Male,27,0,2,1,0,51763,0
173,LP001586,AMBER,480,Urban,Male,44,0,1,1,0,3522,1
174,LP001594,AMBROSE,578,Rural,Male,30,5625,1,1,0,5708,0
175,LP001603,AMELIA,512,Rural,Male,40,736,2,1,1,4344,0
176,LP001606,AMENA,484,Urban,Female,35,1964,1,1,1,3497,0
177,LP001608,AMI,510,Rural,Female,30,1619,2,1,1,2045,0
178,LP001610,AMIEL,606,Rural,Male,36,11300,2,0,0,5516,0
179,LP001616,AMINA,597,Urban,Female,40,0,1,0,1,3750,0
180,LP001630,AMIR,754,Semiurban,Female,55,1451,1,1,0,2333,1
181,LP001633,AMIRI,850,Semiurban,Female,45,7250,1,1,1,6400,0
182,LP001634,AMITY,510,Urban,Male,65,5063,2,1,1,1916,0
183,LP001636,AMMA,778,Rural,Female,45,0,2,1,0,4600,0
184,LP001637,AMORINA,636,Urban,Male,42,0,2,1,1,33846,0
185,LP001639,AMOS,804,Semiurban,Female,50,0,1,1,1,3625,1
186,LP001640,AMY,514,Semiurban,Male,32,4750,2,1,0,39147,0
187,LP001641,AN,730,Semiurban,Female,39,0,1,1,0,2178,0
188,LP001643,ANA,525,Rural,Female,37,2138,1,0,1,2383,0
189,LP001644,ANAIS,616,Rural,Male,30,5296,2,0,1,196108.51,0
190,LP001647,ANALIESE,687,Rural,Female,34,0,2,1,0,148564.76,0
191,LP001653,ANALISE,715,Urban,Female,41,0,2,0,0,92982.61,1
192,LP001656,ANANA,512,Rural,Female,36,0,2,1,0,17675.36,0
193,LP001657,ANANDO,479,Rural,Male,40,0,2,0,0,114996.43,0
194,LP001658,ANASTASIA,601,Semiurban,Male,32,0,1,1,0,86957.42,0
195,LP001664,ANATOLA,580,Urban,Male,29,0,2,1,0,128077.8,0
196,LP001665,ANATOLE,807,Semiurban,Male,35,2583,1,1,1,600.36,0
197,LP001666,ANDE,616,Rural,Female,32,3750,2,1,1,43001.46,0
198,LP001669,ANDRA,721,Urban,Male,37,2365,1,1,1,158591.12,0
199,LP001671,ANDRALYN,501,Rural,Male,57,2816,2,1,1,47847.19,0
200,LP001673,ANDRE,521,Rural,Male,35,96423.84,1,1,0,10488.44,0
201,LP001674,ANDREA,850,Urban,Male,30,141040.01,1,1,1,5978.2,0
202,LP001677,ANDREAS,759,Urban,Male,42,105420.18,1,0,1,121409.06,0
203,LP001682,ANDRES,516,Semiurban,Male,50,0,1,0,1,146145.93,1
204,LP001688,ANDREW,711,Semiurban,Female,38,129022.06,2,1,1,14374.86,1
205,LP001691,ANDY,512,Semiurban,Male,33,176666.62,1,1,0,94670.77,0
206,LP001692,ANEMONE,550,Semiurban,Male,37,0,1,1,1,179670.31,0
207,LP001693,ANEVAY,608,Semiurban,Female,41,89763.84,1,0,0,199304.74,1
208,LP001698,ANGEL,618,Urban,Male,34,134954.53,1,1,1,151954.39,0
209,LP001699,ANGELA,643,Rural,Male,45,0,1,1,0,142513.5,1
210,LP001702,ANGELICA,671,Urban,Male,45,106376.85,1,0,1,158264.62,0
211,LP001708,ANGELINA,689,Rural,Male,33,161814.64,2,1,0,169381.9,0
212,LP001711,ANGELO,603,Semiurban,Male,31,0,2,1,1,169915.02,0
213,LP001713,ANGIE,620,Rural,Female,41,0,2,0,0,88852.47,0
214,LP001715,ANGUS,676,Rural,Female,34,63095.01,1,1,1,40645.81,0
215,LP001716,ANI,572,Urban,Male,26,118287.01,2,0,0,60427.3,0
216,LP001720,ANIKA,668,Semiurban,Male,47,106854.21,1,0,1,157959.02,1
217,LP001722,ANILA,695,Rural,Male,46,49512.55,1,1,0,133007.34,0
218,LP001726,ANISA,730,Rural,Female,33,0,2,0,0,176576.62,0
219,LP001732,ANITA,807,Urban,Male,43,105799.32,2,1,0,34888.04,1
220,LP001734,ANITRA,592,Urban,Male,54,0,1,1,1,28737.71,1
221,LP001736,ANJA,726,Rural,Female,31,114722.05,2,1,1,98178.57,0
222,LP001743,ANLON,514,Urban,Male,30,0,1,0,1,125010.24,0
223,LP001744,ANN,567,Rural,Male,42,0,2,1,1,167984.61,0
224,LP001749,ANNA,850,Semiurban,Male,33,0,1,1,0,4861.72,1
225,LP001750,ANNALISE,671,Urban,Male,45,99564.22,1,1,1,108872.45,1
226,LP001751,ANNAMIKA,670,Urban,Male,37,170557.91,2,1,0,198252.88,0
227,LP001754,ANNE,694,Rural,Female,30,0,2,1,1,26960.31,0
228,LP001758,ANNEKE,547,Rural,Female,39,74596.15,3,1,1,85746.52,1
229,LP001760,ANNETTE,751,Urban,Male,50,96888.39,1,1,0,77206.25,1
230,LP001761,ANNICE,594,Semiurban,Female,29,130830.22,1,1,0,61048.53,0
231,LP001765,ANNICK,673,Urban,Male,72,0,2,0,1,111981.19,0
232,LP001768,ANNIS,610,Rural,Male,40,0,2,1,0,62232.6,0
233,LP001770,ANNISSA,512,Semiurban,Female,37,0,2,0,1,156105.03,0
234,LP001776,ANNORA,767,Urban,Male,20,119714.25,2,0,1,150135.38,0
235,LP001778,ANTHEA,585,Urban,Female,67,113978.97,2,0,1,93146.11,0
236,LP001784,ANTHONY,763,Semiurban,Male,42,100160.75,1,1,0,33462.94,1
237,LP001786,ANTIONETTE,712,Rural,Female,29,0,1,1,1,144375,0
238,LP001788,ANTOINETTE,539,Semiurban,Female,43,116220.5,3,1,0,55803.96,1
239,LP001790,ANTONIA,668,Urban,Female,46,0,3,1,0,89048.46,1
240,LP001792,ANTONIE,703,Urban,Male,28,81173.83,2,0,1,162812.16,0
241,LP001798,ANTONY,662,Semiurban,Male,38,0,2,1,0,136259.65,0
242,LP001800,ANWAR,725,Semiurban,Female,39,116803.8,1,1,0,124052.97,0
243,LP001806,ANYA,703,Rural,Male,37,105961.68,2,0,1,74158.8,0
244,LP001807,AOKO,659,Semiurban,Male,67,117411.6,1,1,1,45071.09,1
245,LP001811,AOLANI,523,Semiurban,Male,34,0,2,1,0,62030.06,0
246,LP001813,APHRODITE,635,Urban,Female,40,123497.58,1,1,0,131953.23,1
247,LP001814,APOLLO,772,Urban,Male,26,152400.51,2,1,0,79414,0
248,LP001819,APPOLLO,545,Semiurban,Female,26,0,2,1,1,199638.56,0
249,LP001824,APRIA,634,Rural,Male,24,103097.85,1,1,1,157577.29,0
250,LP001825,APRIL,739,Urban,Male,54,126418.14,1,1,0,134420.75,1
251,LP001835,ARABELA,771,Semiurban,Female,36,77846.9,1,0,0,99805.99,0
252,LP001836,ARABELLA,587,Semiurban,Female,34,0,2,1,1,97932.68,0
253,LP001841,ARAM,681,Urban,Female,79,0,2,0,1,170968.99,0
254,LP001843,ARAN,544,Urban,Male,37,79731.91,1,1,1,57558.95,0
255,LP001844,ARCHIBALD,696,Rural,Male,28,0,1,0,0,176713.47,0
256,LP001846,ARCHIE,766,Rural,Male,41,0,2,0,1,34283.23,0
257,LP001849,AREN,727,Urban,Male,34,0,2,1,1,198637.34,0
258,LP001854,ARETHA,671,Rural,Female,34,37266.67,2,0,0,156917.12,0
259,LP001859,ARGUS,693,Rural,Female,30,127992.25,1,1,1,50457.2,0
260,LP001864,ARI,850,Semiurban,Male,38,54901.01,1,1,1,140075.55,0
261,LP001865,ARIA,732,Semiurban,Male,42,108748.08,2,1,1,65323.11,0
262,LP001868,ARIANA,726,Rural,Female,48,99906.19,1,1,0,64323.24,0
263,LP001870,ARIEL,557,Rural,Female,32,184686.41,2,1,0,14956.44,0
264,LP001871,ARIELLA,682,Rural,Female,26,110654.02,1,0,1,111879.21,0
265,LP001872,ARIELLE,738,Semiurban,Male,31,79019.8,1,1,1,18606.23,0
266,LP001875,ARIEN,531,Urban,Female,36,99240.51,1,1,0,123137.01,0
267,LP001877,ARISSA,498,Rural,Male,34,0,2,1,1,148528.24,0
268,LP001882,ARISTA,651,Rural,Male,36,0,2,1,0,13898.31,0
269,LP001883,ARIZA,549,Rural,Female,39,0,1,0,0,81259.25,1
270,LP001884,ARLEN,791,Urban,Female,35,52436.2,1,1,0,161051.75,0
271,LP001888,ARLENE,650,Rural,Male,41,0,2,0,1,191599.67,0
272,LP001891,ARLO,733,Semiurban,Male,34,100337.96,3,1,0,48559.19,1
273,LP001892,ARLYNDA,811,Semiurban,Female,34,149297.19,2,1,1,186339.74,0
274,LP001894,ARMAND,707,Semiurban,Male,30,0,2,1,0,33159.37,0
275,LP001896,ARMANDE,712,Semiurban,Male,28,145605.44,1,0,1,93883.53,0
276,LP001900,ARMANDO,706,Urban,Female,37,0,2,1,1,110899.3,0
277,LP001903,ARMINA,756,Semiurban,Male,62,0,1,1,1,11199.04,1
278,LP001904,ARNAUD,777,Semiurban,Female,53,0,2,1,0,189992.97,0
279,LP001907,ARNE,646,Semiurban,Male,35,84026.86,1,0,1,164255.69,0
280,LP001908,ARNIE,714,Semiurban,Male,46,0,1,1,0,152167.79,1
281,LP001910,ARNOLD,782,Rural,Male,39,0,2,1,1,33949.67,0
282,LP001914,ARON,775,Urban,Male,29,0,2,1,1,68143.93,0
283,LP001915,ART,479,Rural,Male,35,138718.92,1,1,1,47251.79,1
284,LP001917,ARTEMIS,807,Urban,Male,42,118274.71,1,1,1,25885.72,0
285,LP001922,ARTHUR,799,Urban,Female,22,174185.98,2,0,1,192633.85,0
286,LP001924,ARTIE,675,Rural,Male,40,113208.86,2,1,0,34577.36,0
287,LP001925,ARTY,602,Rural,Male,29,103907.28,1,1,0,161229.84,0
288,LP001926,ARVID,475,Urban,Female,32,119023.28,1,1,0,100816.29,0
289,LP001931,ARVIN,744,Urban,Female,26,166297.89,1,1,1,181694.44,0
290,LP001935,ASA,588,Semiurban,Male,34,0,2,1,0,79078.91,0
291,LP001936,ASABI,703,Urban,Male,42,63227,1,0,1,137316.32,0
292,LP001938,ASALIE,747,Rural,Female,41,94521.17,2,1,0,194926.86,0
293,LP001940,ASASIA,583,Urban,Male,27,0,2,1,0,51285.49,0
294,LP001945,ASH,750,Urban,Female,34,112822.26,1,0,0,150401.53,1
295,LP001947,ASHA,681,Semiurban,Male,38,0,2,1,1,112491.96,0
296,LP001949,ASHBY,773,Semiurban,Male,25,135903.33,1,1,0,73656.38,0
297,LP001953,ASHLEY,714,Rural,Female,31,125169.26,1,1,1,106636.89,0
298,LP001954,ASHLING,687,Semiurban,Female,44,0,3,1,0,155853.52,1
299,LP001955,ASHLYN,511,Rural,Male,58,149117.31,1,1,1,162599.51,0
300,LP001963,ASHTON,627,Urban,Male,33,0,2,1,1,103737.82,0
301,LP001964,ASHTYN,694,Urban,Female,31,0,2,1,0,160990.27,0
302,LP001972,ASIS,616,Rural,Female,36,132311.71,1,0,0,15462.84,0
303,LP001974,ASLI,687,Rural,Male,35,0,2,1,0,10334.05,0
304,LP001977,ASNEE,712,Semiurban,Female,33,0,2,1,1,190686.16,0
305,LP001978,ASTA,553,Semiurban,Male,33,118082.89,1,0,0,94440.45,0
306,LP001990,ASTHORE,667,Rural,Male,31,119266.69,1,1,1,28257.63,0
307,LP001993,ASTIN,731,Rural,Male,43,0,1,1,1,170034.95,1
308,LP001994,ASTRA,629,Rural,Male,35,156847.29,2,1,0,31824.29,0
309,LP001996,ASTRID,614,Semiurban,Male,50,137104.47,1,1,0,127166.49,1
310,LP001998,ATALO,438,Urban,Male,31,78398.69,1,1,0,44937.01,0
311,LP002002,ATHALIA,652,Rural,Female,80,0,2,1,1,188603.07,0
312,LP002004,ATHENA,729,Urban,Male,30,63669.42,1,1,0,145111.37,0
313,LP002006,ATIRA,642,Rural,Male,38,0,2,0,0,171463.83,0
314,LP002008,AUBERTA,806,Urban,Female,59,135296.33,1,1,0,182822.5,0
315,LP002024,AUBREY,744,Semiurban,Male,36,153804.44,1,1,1,87213.33,0
316,LP002031,AUBRIANNA,474,Rural,Male,37,0,2,0,0,57175.32,0
317,LP002035,AUDI,559,Urban,Male,49,147069.78,1,1,0,120540.83,1
318,LP002036,AUDRA,706,Rural,Male,42,0,2,1,1,28714.34,0
319,LP002043,AUDREY,628,Urban,Female,22,0,1,1,0,85426.28,0
320,LP002050,AUGUST,429,Rural,Male,24,95741.75,1,1,0,46170.75,0
321,LP002051,AUGUSTIN,525,Urban,Female,57,145965.33,1,1,1,64448.36,0
322,LP002053,AUGUSTUS,680,Urban,Female,30,141441.75,1,1,1,16278.97,0
323,LP002054,AULII,749,Semiurban,Male,40,139290.41,1,1,0,182855.42,1
324,LP002055,AURE,763,Rural,Female,31,0,2,0,0,50404.72,0
325,LP002065,AURELIA,734,Semiurban,Male,30,0,2,1,0,107640.25,0
326,LP002067,AURORA,716,Semiurban,Male,35,144428.87,1,1,0,134132.65,0
327,LP002068,AURORETTE,594,Urban,Male,35,0,2,1,0,103480.69,0
328,LP002082,AUSTIN,644,Rural,Female,46,95441.27,1,1,0,108761.05,1
329,LP002086,AUTUMN,671,Semiurban,Male,35,144848.74,1,1,1,179012.3,0
330,LP002087,AVA,664,Rural,Male,26,116244.14,2,1,1,95145.14,0
331,LP002097,AVALON,656,Urban,Male,50,0,2,0,1,72143.44,0
332,LP002098,AVEL,667,Urban,Female,40,146502.07,1,1,0,19162.89,0
333,LP002100,AVELINE,663,Semiurban,Male,44,117028.6,2,0,1,144680.18,0
334,LP002101,AVERY,584,Semiurban,Female,30,112013.81,1,1,0,177772.03,1
335,LP002103,AVI,626,Urban,Female,37,108269.37,1,1,0,5597.94,0
336,LP002106,AVIS,485,Urban,Male,29,182123.79,1,1,0,116828.51,1
337,LP002110,AVIV,659,Urban,Female,32,150923.74,2,0,1,174652.51,0
338,LP002112,AVIVA,649,Rural,Male,33,0,2,1,0,2010.98,0
339,LP002113,AVONGARA,805,Rural,Female,39,165272.13,1,1,0,14109.85,1
340,LP002114,AXEL,716,Semiurban,Female,39,115301.31,1,1,0,43527.4,1
341,LP002115,AXELLE,642,Rural,Female,40,129502.49,2,0,1,86099.23,1
342,LP002116,AYA,659,Rural,Male,31,118342.26,1,0,0,161574.19,0
343,LP002119,AYAME,545,Urban,Female,47,0,2,1,1,38970.14,0
344,LP002126,AYANNA,543,Rural,Male,22,0,2,0,0,127587.22,0
345,LP002128,AYLA,718,Urban,Female,25,0,2,1,0,30380.12,0
346,LP002129,AYOKA,840,Rural,Female,43,0,2,1,0,90908.95,0
347,LP002130,AYSHA,630,Urban,Female,34,106937.05,2,1,0,138275.01,0
348,LP002131,AZANA,643,Urban,Male,59,170331.37,1,1,1,32171.79,0
349,LP002137,AZIZA,654,Rural,Female,32,114510.85,1,1,1,126143.23,0
350,LP002138,AZIZE,582,Rural,Male,39,0,2,1,1,129892.93,0
